"ID","Severity","Title","Status","Current","Fix"
"C1","critical","The root and real homepage are split across two indexable URLs","blocked","The root is a generic Blog archive; /home/ is a separate branded, self-canonical page. Navigation and search signals split brand and conversion intent.","Make the branded experience the root; move the archive to /blog/; 301 /home/ to /; align canonicals, social URLs, schema, breadcrumbs, menus, internal links, and sitemaps."
"C2","critical","Blog pagination is broken and repeats page one","blocked","Pages 2â€“8 return 200 but repeat page-one headings, show current page 1, use generic title Blog, and canonicalize to the root; older sitemap posts are not exposed by the visible pager.","Repair the WordPress paged query and complete crawlable pagination on the surviving archive. Give real page sets differentiated titles and correct canonicals; consolidate redundant variants only after coverage is proven."
"C3","critical","Eight demo records are indexed as real people, testimonials, and cases","blocked","Eight sitemap-listed, indexable, self-canonical records reuse Latin-like theme-demo copy and placeholder identities; the deterministic crawl also groups them into duplicate-content/description clusters.","Unpublish; return 410 where approved; remove from sitemaps and internal links. Only publish permissioned, substantiated identities/cases with dates, scope, methods, outcomes, and disclosure."
"C4","critical","The newsletter conversion system is visibly broken","blocked","The footer and /newsletter/ expose raw malformed MailPoet shortcodes; /newsletter-2/ is a duplicate indexable route with an unresolved legal token.","Repair shortcode/plugin configuration; consolidate newsletter routes; state promise, cadence, consent, privacy, and unsubscribe expectations; then prove confirmation and delivery end to end."
"C5","critical","High-stakes career guidance contains mislabeled, retired, or unsupported credentials","blocked","The page misnames or mislinks Google, AWS, Databricks, OpenAI Gym, and NVIDIA credentials and omits verification date, exact code/status, costs, prerequisites, renewal, role, and selection method.","Temporarily remove from the index; rebuild only from issuer primary sources with verified-on date, exact credential/code/status, fees, prerequisites, renewal, intended role, limitations, and methodology."
"C6","critical","Foundational AI explainers contain basic factual errors","blocked","The page incorrectly frames GPT-3 as the original GPT, states GPT-J has 178B parameters, attributes Megatron-Turing NLG to Google, and uses unqualified AGI language.","Retract pending review, then replace with a versioned primary-source timeline distinguishing model families, products, release dates, parameter counts, availability, provenance, capabilities, and limitations."
"C7","critical","The Grok article appears to invent or conflate a business platform","blocked","The article describes an unidentified custom-model platform with enterprise, integration, security, support, and setup-team claims without vendor identity or supporting product evidence. The report explicitly labels conflation/fabrication as an inference, not proven intent.","Remove pending verification. If the subject is xAI Grok, rewrite solely from dated primary product material and do not infer unsupported enterprise/security capabilities."
"C8","critical","There is no accountable author behind 71 posts","blocked","All 71 posts use the domain-named account; the biography/avatar are generic; Person schema uses the domain; institutional and reviewer responsibility is not supported visibly.","Assign real accountable individual bylines and qualification-specific bios; publish reviewed-by, dates, source/correction/editorial/AI-use/conflict/affiliate policies, legal publisher, and correction history."
"H1","high","Public runtime is obsolete and version details are exposed","blocked","Captured responses advertise PHP/8.1.34, an end-of-life branch. Generator tags and asset query strings advertise WordPress/plugin versions, but those strings are not an authenticated installed-package inventory.","Back up and stage-test; move to a supported PHP branch; update WordPress/theme/plugins after compatibility testing; remove unused extensions; enable managed security updates; suppress unnecessary disclosure."
"H2","high","Internal links contain two 404s and sitewide redirect waste","blocked","Two malformed/missing link targets were confirmed; 36 unique internal destinations redirect; apex/index.php Blog, Home, and Contact links recur roughly 228â€“229 times across the snapshot.","Replace internal anchors with final HTTPS www URLs; fix the two 404 destinations; eliminate /index.php and apex variants at the template/menu source."
"H3","high","Mobile payloads are excessive","blocked","At 390Ã—844, / transferred about 11.95 MB (11.21 MB images) and /home/ about 34.48 MB. Oversized originals, duplicate variants, 27 images, 24 scripts, and several 1.7â€“2.3 MB images were observed. Load-event timings are lab observations, not field CWV.","Generate responsive AVIF/WebP; configure srcset/sizes; stop serving originals as cards; preload only actual LCP; lazy-load below-fold assets; remove duplicate carousel assets; reduce scripts and DOM."
"H4","high","Metadata control is poor across the sitemap inventory","blocked","The deterministic 114-URL audit found 6 generic titles, 38 titles over 60, 38 under 20, 12 missing descriptions, 50 over 160, 13 under 70, 2 duplicate-title groups, and 1 duplicate-description group. Thresholds are snippet heuristics, not ranking penalties.","Write intent-specific title/description templates; remove keyword dumps/article-length descriptions; consolidate duplicate routes; make archives unique."
"H5","high","Headings and thin hubs fail page intent","blocked","The deterministic audit found 1 page missing H1, 3 pages with multiple/blank H1s, and 29 pages under 300 main-content words. About Us has a giant H2; near-empty hubs and visible â€œService Urlâ€ text were also observed.","Use one descriptive H1 and coherent H2/H3 hierarchy; remove blank/misleveled headings; enrich pages that serve a real task and redirect/noindex/retire pages that do not."
